| 2025-09-18 16:17:17 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:16 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:17 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:18 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:17 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:18 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:19 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:19 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:19 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:20 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:20 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:21 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:22 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:21 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:22 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:23 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:22 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:23 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:24 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:24 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:24 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:26 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:25 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:26 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:27 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:26 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:27 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:28 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:28 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:28 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:29 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:29 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:29 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:30 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:30 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:31 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:32 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:31 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:32 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:33 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:33 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:33 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:34 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:34 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:35 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:36 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:35 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:36 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:37 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:37 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:37 | INFO     | WebSocketHandler     | Connection closed: None None
| 2025-09-18 16:17:38 | ERROR    | WebSocketHandler     | WebSocket error: Handshake status 502 Bad Gateway -+-+- {'server': 'openresty', 'date': 'Thu, 18 Sep 2025 14:17:38 GMT', 'content-type': 'text/html', 'content-length': '154', 'connection': 'keep-alive', 'strict-transport-security': 'max-age=63072000; preload'} -+-+- b'<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n<hr><center>openresty</center>\r\n</body>\r\n</html>\r\n'
| 2025-09-18 16:17:38 | INFO     | WebSocketHandler     | Connection closed: None None
